app,feature,legacy_sources,routes,react_module,go_apis,implementation,read,write,permissions,fake_external,component_tests,browser,evidence,rowNumber
dashboard,material-library,web/legacy/dashboard/src/views/mediumGroup,/mediumGroup/index,web/apps/dashboard/src/features/business-workbench/catalog.ts,/dashboard/medium*;/dashboard/mediumGroup/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,13
dashboard,menu,web/legacy/dashboard/src/views/menu/index.vue,/menu/index,web/apps/dashboard/src/features/menu-admin/menu-admin-page.tsx,/dashboard/menu/*,functional,passed,passed,passed,not-applicable:no external platform,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,14
dashboard,official-account,web/legacy/dashboard/src/views/officialAccount,/officialAccount/create;/officialAccount/index,web/apps/dashboard/src/features/business-workbench/catalog.ts,/dashboard/officialAccount/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,15
dashboard,password,web/legacy/dashboard/src/views/passwordUpdate/index.vue,/passwordUpdate/index,web/apps/dashboard/src/features/password/password-page.tsx,/dashboard/user/passwordUpdate,functional,passed,passed,passed,not-applicable:no external platform,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,16
dashboard,role,web/legacy/dashboard/src/views/role,/role/index;/role/permissionShow,web/apps/dashboard/src/features/role/role-page.tsx,/dashboard/role/*,functional,passed,passed,passed,not-applicable:no external platform,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,17
dashboard,room-message-batch,web/legacy/dashboard/src/views/roomMessageBatchSend,/roomMessageBatchSend/index;/roomMessageBatchSend/show;/roomMessageBatchSend/store,web/apps/dashboard/src/features/business-workbench/catalog.ts,/dashboard/roomMessageBatchSend/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,18
dashboard,room-tag-pull,web/legacy/dashboard/src/views/roomTagPull,/roomTagPull/contactDetail;/roomTagPull/create;/roomTagPull/detail;/roomTagPull/index,web/apps/dashboard/src/features/business-workbench/catalog.ts,/dashboard/roomTagPull/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,19
dashboard,room-welcome,web/legacy/dashboard/src/views/roomWelcome,/roomWelcome/create;/roomWelcome/index,web/apps/dashboard/src/features/business-workbench/catalog.ts,/dashboard/roomWelcome/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,20
dashboard,statistics,web/legacy/dashboard/src/views/statistics,/statistics/contact;/statistics/employee,web/apps/dashboard/src/features/business-workbench/catalog.ts,/dashboard/corpData/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,21
dashboard,user,web/legacy/dashboard/src/views/user/index.vue,/user/index,web/apps/dashboard/src/features/user-admin/user-admin-page.tsx,/dashboard/user/*,functional,passed,passed,passed,not-applicable:no external platform,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,22
dashboard,work-contact,web/legacy/dashboard/src/views/workContact,/workContact/contactFieldPivot;/workContact/index,web/apps/dashboard/src/features/business-workbench/catalog.ts,/dashboard/workContact/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,23
dashboard,work-contact-tag,web/legacy/dashboard/src/views/workContactTag/index.vue,/workContactTag/index,web/apps/dashboard/src/features/contact-tag/contact-tag-page.tsx,/dashboard/workContactTag*/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,24
dashboard,work-employee,web/legacy/dashboard/src/views/workEmployee/index.vue,/workEmployee/index,web/apps/dashboard/src/features/employee/employee-page.tsx,/dashboard/workEmployee/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,25
dashboard,work-fission,web/legacy/dashboard/src/views/workFission,/workFission/create;/workFission/dataShow;/workFission/edit;/workFission/invite;/workFission/taskpage,web/apps/dashboard/src/features/business-workbench/catalog.ts,/dashboard/workFission/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,26
dashboard,work-room,web/legacy/dashboard/src/views/workRoom,/workRoom/detail;/workRoom/index;/workRoom/statistics,web/apps/dashboard/src/features/business-workbench/catalog.ts,/dashboard/workRoom/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,27
dashboard,work-room-auto-pull,web/legacy/dashboard/src/views/workRoomAutoPull,/workRoomAutoPull/index;/workRoomAutoPull/store,web/apps/dashboard/src/features/business-workbench/catalog.ts,/dashboard/workRoomAutoPull/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,28
sidebar,auth,web/legacy/sidebar/src/views/auth;web/legacy/sidebar/src/views/codeAuth;web/legacy/sidebar/src/views/login,/auth;/codeAuth;/login,web/apps/sidebar/src/app/catalog.ts,/sidebar/agent/auth,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,29
sidebar,home,web/legacy/sidebar/src/views/index/index.vue,/,web/apps/sidebar/src/app/catalog.ts,/sidebar/chatTool/config,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,30
sidebar,contact,web/legacy/sidebar/src/views/contact,/contact;/contact/editDetail;/contact/remark;/contact/settingTag,web/apps/sidebar/src/app/catalog.ts,/sidebar/workContact/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,31
sidebar,contact-batch-add,web/legacy/sidebar/src/views/contactBatchAdd/index.vue,/contactBatchAdd,web/apps/sidebar/src/app/catalog.ts,/sidebar/contactBatchAdd/detail,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,32
sidebar,contact-sop,web/legacy/sidebar/src/views/contactSop,/contactSop,web/apps/sidebar/src/app/catalog.ts,/sidebar/contactSop/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,33
sidebar,materials,web/legacy/sidebar/src/views/medium/index.vue,/medium,web/apps/sidebar/src/app/catalog.ts,/sidebar/medium*/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,34
sidebar,room-sop,web/legacy/sidebar/src/views/roomSop,/roomSop,web/apps/sidebar/src/app/catalog.ts,/sidebar/roomSop/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,35
operation,home,web/legacy/operation/src/views/index/index.vue,/,web/apps/operation/src/app/catalog.ts,/operation/config,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,36
operation,lottery,web/legacy/operation/src/views/lottery,/explain;/lottery,web/apps/operation/src/app/catalog.ts,/operation/lottery/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,37
operation,room-clock-in,web/legacy/operation/src/views/roomClockIn,/roomClockIn,web/apps/operation/src/app/catalog.ts,/operation/roomClockIn/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,38
operation,room-fission,web/legacy/operation/src/views/roomFission,/roomFission;/fissionSpeed,web/apps/operation/src/app/catalog.ts,/operation/roomFission/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,39
operation,room-infinite-pull,web/legacy/operation/src/views/roomInfinitePull/roomInfinitePull.vue,/roomInfinitePull,web/apps/operation/src/app/catalog.ts,/operation/roomInfinitePull/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,40
operation,shop-code,web/legacy/operation/src/views/shopCode/shopCodeIndex.vue,/shopCode,web/apps/operation/src/app/catalog.ts,/operation/shopCode/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,41
operation,work-fission,web/legacy/operation/src/views/workFission,/workFission;/speed,web/apps/operation/src/app/catalog.ts,/operation/workFission/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,42
